# Rime user dictionary
#@/db_name	luna_pinyin.userdb.kct
#@/db_type	userdb
#@/rime_version	1.2.0
#@/tick	6492
#@/user_id	9dd1f55d-4634-4c50-b209-da3cd5d3a516
a 	啊	c=6 d=0.697676 t=6492
xi shu 	係數	c=22 d=6.22765 t=3627
xi tiao 	細調	c=2 d=1.84366 t=2185
xi tong 	系統	c=1 d=0.100001 t=6026
xi tong guan li 	系統管理	c=0 d=0.1 t=6197
xi tong guan li de 	系統管理的	c=1 d=1 t=6198
xi tong wen ti 	系統問題	c=1 d=1 t=6027
xi wang 	希望	c=2 d=1 t=5039
xia 	下	c=13 d=1.67156 t=6492
xia ban 	下班	c=1 d=1 t=1318
xia biao 	下表	c=1 d=1 t=2838
xia fang 	下方	c=2 d=1.00067 t=5155
xia hua xian 	下劃線	c=1 d=1 t=6105
xia lie 	下列	c=1 d=1 t=3886
xia luo 	下落	c=0 d=0.1 t=1973
xia mang 	瞎忙	c=0 d=0.1 t=6471
xia tu 	下圖	c=1 d=1 t=5493
xia wen 	下文	c=1 d=1 t=183
xia wu 	下午	c=1 d=1 t=4079
xia yi 	下一	c=0 d=0.1 t=2567
xia zai 	下載	c=8 d=0.100331 t=6316
xia zai de 	下載的	c=1 d=1 t=6317
xian 	先	c=9 d=2.51256 t=6492
xian 	限	c=1 d=1 t=2078
xian bie 	先別	c=1 d=1 t=6122
xian cheng 	現成	c=3 d=1.00039 t=2373
xian cheng 	線程	c=0 d=0.1 t=5522
xian cheng suo 	線程鎖	c=1 d=1 t=5523
xian kan 	先看	c=1 d=1 t=4135
xian qu 	先去	c=0 d=0.1 t=4670
xian shi 	現實	c=1 d=1 t=3225
xian shi 	顯示	c=13 d=1.13143 t=6492
xian shi bu le 	顯示不了	c=1 d=1 t=6384
xian shi chu 	顯示出	c=1 d=1 t=4822
xian shi le 	顯示了	c=3 d=1.55889 t=5836
xian shi ping 	顯示屏	c=1 d=1 t=3141
xian xiang 	現象	c=0 d=0.1 t=3890
xian yong 	先用	c=1 d=1 t=2667
xian you 	現有	c=1 d=1 t=544
xian zai 	現在	c=9 d=2.00554 t=6224
xian zhi 	限制	c=0 d=0.1 t=6360
xian zuo 	先做	c=0 d=0.147237 t=4667
xian zuo dao 	先做到	c=1 d=1 t=4668
xiang 	像	c=2 d=1.50916 t=6175
xiang 	向	c=1 d=1 t=5346
xiang 	項	c=5 d=1.00001 t=5720
xiang bu qi lai 	想不起來	c=0 d=0.1 t=4904
xiang bu qi lai le 	想不起來了	c=1 d=1 t=4905
xiang cha 	相差	c=1 d=1 t=5760
xiang chu lai 	想出來	c=0 d=0.1 t=1732
xiang chu lai de 	想出來的	c=1 d=1 t=1733
xiang dang yu 	相當於	c=1 d=1 t=6010
xiang dui 	相對	c=1 d=1 t=2808
xiang dui su du 	相對速度	c=1 d=1 t=2882
xiang guan 	相關	c=10 d=0.904837 t=6492
xiang jia 	相加	c=1 d=1 t=3842
xiang jian 	詳見	c=1 d=1 t=524
xiang jiang 	香江	c=1 d=1 t=1279
xiang jie 	詳解	c=1 d=1 t=3599
xiang mu 	項目	c=2 d=1 t=6149
xiang shu 	詳述	c=1 d=1 t=3159
xiang tong 	相同	c=1 d=1 t=506
xiang xi 	詳細	c=5 d=0.909373 t=6492
xiang xi miao shu 	詳細描述	c=1 d=1 t=2767
xiang ying 	相應	c=0 d=0.1 t=2510
xiang ying de 	相應的	c=1 d=1 t=2511
xiang yong 	想用	c=1 d=1 t=2272
xiao 	小	c=0 d=0.10773 t=5776
xiao ba 	校巴	c=1 d=1 t=808
xiao bu fen 	小部分	c=1 d=1 t=4237
xiao chuang 	小窗	c=1 d=1 t=5856
xiao guo 	效果	c=24 d=1.32766 t=5995
xiao guo bu hao 	效果不好	c=1 d=1 t=4931
xiao guo you dai 	效果有待	c=1 d=1 t=4949
xiao hua mian 	小畫面	c=1 d=1 t=5777
xiao jie 	小結	c=1 d=1 t=2182
xiao lv 	效率	c=1 d=0.1 t=5035
xiao lv di 	效率低	c=1 d=1 t=5036
xiao shu dian 	小數點	c=1 d=1 t=1062
xiao wen ti 	小問題	c=1 d=1 t=5265
xiao xue 	小學	c=0 d=0.1 t=1581
xiao yu 	小於	c=0 d=0.1 t=3047
xiao yu deng yu 	小於等於	c=1 d=1 t=3048
xie 	謝	c=1 d=1 t=4066
xie de 	寫的	c=3 d=1 t=6354
xie xie 	謝謝	c=4 d=2.06774 t=5390
xie zai 	卸載	c=1 d=1 t=4188
xie zhe 	寫着	c=1 d=1 t=936
xin 	新	c=2 d=1.00081 t=5351
xin 	昕	c=1 d=1 t=585
xin 	欣	c=1 d=1 t=1191
xin de 	新的	c=1 d=1 t=6336
xin de bu lai 	新的不來	c=1 d=1 t=238
xin fang fa 	新方法	c=2 d=1.70822 t=3861
xin jian 	新建	c=2 d=1.0017 t=1563
xin jian mo 	新建模	c=1 d=1 t=3892
xin kai 	新開	c=1 d=1 t=4297
xin tian di 	新天地	c=1 d=1 t=1590
xin xi 	信息	c=5 d=1.10767 t=5673
xin ye mian 	新頁面	c=1 d=1 t=2228
xing 	形	c=2 d=1.99005 t=1004
xing 	興	c=1 d=1 t=1586
xing 	行	c=1 d=1 t=6471
xing bian 	形變	c=0 d=0.1 t=3135
xing cheng 	形成	c=1 d=1 t=1430
xing le 	行了	c=1 d=1 t=5839
xing shi 	形式	c=0 d=0.1 t=5400
xing wei 	行爲	c=1 d=1.08744 t=3929
xing wei nei 	行爲內	c=1 d=1 t=3922
xing wei yi zhi 	行爲一致	c=1 d=1 t=3930
xing zhuang 	形狀	c=1 d=1.00001 t=2856
xing zuo 	星座	c=1 d=1 t=5625
xiong men 	胸悶	c=1 d=1 t=3932
xiu fu 	修復	c=1 d=1 t=6320
xiu gai 	修改	c=5 d=1.01115 t=5362
xiu gai le 	修改了	c=2 d=1.77492 t=2711
xiu gai yi xia 	修改一下	c=1 d=1 t=4851
xiu xi yi xia 	休息一下	c=1 d=1 t=4086
xu 	需	c=1 d=1 t=3604
xu ni 	虛擬	c=1 d=0.154749 t=2718
xu ni chang jing 	虛擬場景	c=1 d=1 t=2719
xu ni ji 	虛擬機	c=1 d=1 t=4922
xu qiu 	需求	c=3 d=1.19462 t=5990
xu yao 	需要	c=19 d=1.06416 t=6007
xu yao gai 	需要改	c=1 d=1 t=5809
xuan 	選	c=0 d=0.1 t=4752
xuan ran 	渲染	c=26 d=1.04014 t=6485
xuan ran cheng 	選染成	c=1 d=1 t=4753
xuan ran jiao ben 	渲染腳本	c=1 d=1 t=6486
xuan ran le 	渲染了	c=1 d=1 t=4809
xuan ran yin qing de 	渲染引擎的	c=1 d=1 t=6286
xuan wei 	選爲	c=1 d=1 t=3171
xuan xiang 	選項	c=1 d=1 t=6345
xuan ze 	選擇	c=7 d=1.10947 t=3196
xuan zhuan 	旋轉	c=3 d=1.90389 t=5499
xue 	學	c=0 d=0.1 t=718
xue guo 	學過	c=2 d=1.99005 t=717
xue xi 	學習	c=4 d=1 t=5020
ya suo bao 	壓縮包	c=1 d=1 t=4498
yan fa 	研發	c=1 d=1 t=1828
yan ge 	嚴格	c=1 d=1 t=1330
yan jing 	眼睛	c=2 d=1.27665 t=1621
yan jing 	眼鏡	c=1 d=1 t=1622
yan jiu 	研究	c=0 d=0.1 t=2079
yan jiu le 	研究了	c=1 d=1 t=2080
yan jiu zhong xin 	研究中心	c=2 d=1 t=5789
yan ma 	掩碼	c=1 d=1 t=3003
yan se 	顏色	c=7 d=1.98504 t=5824
yan shi 	演示	c=1 d=1 t=6169
yan xuan 	嚴選	c=1 d=1 t=1742
yan yong 	沿用	c=3 d=1.00011 t=5323
yan zheng 	驗證	c=1 d=1 t=1241
yang 	楊	c=2 d=1.98511 t=3043
yang shi 	楊氏	c=1 d=1 t=3542
yang zi 	樣子	c=1 d=1.00821 t=4651
yao 	要	c=12 d=0.225184 t=6179
yao bu yao 	要不要	c=1 d=1 t=1522
yao gai cheng 	要改成	c=1 d=1 t=4770
yao qiu 	要求	c=1 d=1 t=6082
yao yi qi 	要一起	c=1 d=1 t=6180
yao you 	要有	c=1 d=1 t=6220
yao zai 	要在	c=2 d=1.00245 t=5991
yao zi ji 	要自己	c=1 d=1 t=1286
yao zuo 	要做	c=0 d=0.1 t=1740
yao zuo mie 	要做咩	c=1 d=1 t=1741
ye 	也	c=9 d=1.31352 t=6431
ye bu neng 	也不能	c=0 d=0.112431 t=5637
ye bu neng zai 	也不能在	c=1 d=1 t=5638
ye bu neng zhan kai 	也不能展開	c=1 d=1 t=5221
ye gai 	也改	c=1 d=1 t=6400
ye hui 	也會	c=5 d=1.00029 t=5871
ye jiang 	也將	c=1 d=1 t=1955
ye ke yi 	也可以	c=2 d=1 t=5890
ye mei you 	也沒有	c=2 d=1.35345 t=5193
ye mian 	頁面	c=8 d=1.1368 t=5815
ye mian li 	頁面裏	c=1 d=1 t=1525
ye neng 	也能	c=0 d=0.1 t=6036
ye neng yong 	也能用	c=1 d=1 t=6037
ye shi 	也是	c=2 d=0.100873 t=5884
ye shi shi shi 	也是實時	c=1 d=1 t=5885
ye wei 	也爲	c=1 d=1 t=5050
ye xing 	也行	c=2 d=1.48432 t=4662
ye you 	也有	c=1 d=0.105118 t=5535
yi 	一	c=1 d=0.97531 t=6492
yi 	以	c=13 d=0.578944 t=5397
yi 	已	c=8 d=1.01945 t=5909
yi ban 	一般	c=2 d=1.00004 t=3027
yi bian 	以便	c=1 d=1 t=775
yi ceng 	一層	c=3 d=1.00004 t=4883
yi cha shang 	一插上	c=1 d=1 t=3577
yi ci 	一次	c=1 d=1 t=6093
yi dao 	移到	c=1 d=1 t=2257
yi dian 	一點	c=1 d=1 t=5593
yi ding 	一定	c=0 d=0.1 t=3947
yi dong 	移動	c=1 d=1 t=3360
yi ge 	一個	c=33 d=2.20672 t=6293
yi gong 	一共	c=1 d=1 t=4805
yi hou 	以後	c=1 d=1.01092 t=2537
yi hou ban ben 	以後版本	c=1 d=1 t=2095
yi ji 	以及	c=3 d=1 t=6335
yi jie 	一節	c=1 d=1 t=3858
yi jing 	已經	c=1 d=1 t=4259
yi kai shi 	一開始	c=0 d=0.1 t=6259
yi kai shi de 	一開始的	c=1 d=1 t=6260
yi lai 	依賴	c=4 d=1.00586 t=3958
yi lai lian 	依賴鏈	c=1 d=1 t=1211
yi mian 	以免	c=1 d=1 t=3956
yi qi 	一起	c=0 d=0.1 t=6179
yi qie 	一切	c=1 d=1 t=6251
yi ran 	依然	c=1 d=1 t=2990
yi shang 	以上	c=1 d=1 t=2476
yi shang chuan 	已上傳	c=1 d=1 t=3740
yi shi 	一是	c=1 d=1 t=5640
yi si 	意思	c=3 d=0.107455 t=6264
yi si 	疑似	c=1 d=1 t=1841
yi si shi 	意思是	c=1 d=1 t=6265
yi tong guo 	已通過	c=1 d=1 t=2208
yi wei 	以爲	c=0 d=0.1 t=954
yi wei 	意爲	c=1 d=1 t=3245
yi xia 	一下	c=8 d=1.63515 t=6478
yi xia 	以下	c=9 d=1.27691 t=2742
yi xie 	一些	c=5 d=1 t=4250
yi yang 	一樣	c=4 d=1.51176 t=6177
yi you 	已有	c=1 d=1 t=654
yi yuan 	醫院	c=1 d=1 t=539
yi zhi 	一直	c=3 d=1.09305 t=4305
yi zhi 	一致	c=3 d=2.44914 t=3978
yi zhong 	一種	c=2 d=1 t=3408
yi zu 	一組	c=1 d=1 t=2351
yin cang 	隱藏	c=1 d=1 t=5358
yin ci 	因此	c=4 d=0.806541 t=6492
yin qing 	引擎	c=23 d=3.00072 t=6332
yin qing de 	引擎的	c=1 d=0.1 t=6285
yin shu 	因數	c=1 d=1 t=3219
yin wei 	因爲	c=4 d=1.91336 t=5643
yin xun 	音訊	c=0 d=0.1 t=1800
yin yong 	引用	c=2 d=1.8871 t=6490
yin yong le 	引用了	c=1 d=1 t=6491
yin yue 	音樂	c=0 d=0.0704688 t=6492
ying 	應	c=1 d=1 t=3843
ying gai 	應該	c=10 d=1.00192 t=6235
ying jian 	硬件	c=3 d=1 t=6081
ying xiang 	影響	c=3 d=1.00003 t=6410
ying xiang dao 	影響到	c=1 d=1 t=6404
ying xiang ma 	影響嗎	c=1 d=1 t=4816
ying yong 	應用	c=1 d=1.00002 t=3567
ying yong yu 	應用於	c=1 d=1 t=1895
yong 	用	c=26 d=1.90769 t=6241
yong dao 	用到	c=3 d=1.0226 t=4708
yong de 	用的	c=4 d=0.134852 t=6004
yong de ma 	用的嗎	c=1 d=1 t=6005
yong de shi 	用的是	c=1 d=1 t=5255
yong hu 	用戶	c=2 d=1 t=5590
yong lai 	用來	c=2 d=1.05448 t=4763
yong yu 	用於	c=2 d=1.02705 t=3308
yong yuan 	永遠	c=3 d=1.15854 t=3590
yong zhe ge 	用這個	c=1 d=1 t=6067
you 	又	c=4 d=1.041 t=5838
you 	右	c=2 d=1.40657 t=5965
you 	有	c=27 d=2.04118 t=6446
you 	由	c=8 d=1.12847 t=5725
you bian 	右邊	c=3 d=1.00074 t=5861
you bian zhuo zi 	右邊桌子	c=1 d=1 t=4859
you dai 	有待	c=0 d=0.1 t=4948
you de 	有的	c=1 d=1 t=725
you dian 	有點	c=1 d=0.100093 t=6257
you dian duo 	有點多	c=1 d=1 t=4125
you dian gan 	有點趕	c=1 d=1 t=4705
you dian jiu 	有點舊	c=1 d=1 t=6258
you ding yi 	有定義	c=1 d=1 t=2471
you ge 	有個	c=3 d=1.00268 t=6101
you guan 	有關	c=2 d=1 t=5982
you guan ma 	有關嗎	c=2 d=1 t=5974
you ju 	郵局	c=1 d=1 t=534
you ke neng 	有可能	c=2 d=0.752014 t=6492
you kong 	有空	c=1 d=1 t=4380
you le 	有了	c=2 d=1.50662 t=4396
you mei you 	有沒有	c=3 d=1.00001 t=4663
you ren 	有人	c=1 d=0.1 t=6021
you ren wen 	有人問	c=1 d=1 t=6022
you shen me 	有什麼	c=3 d=1.70728 t=5365
you shi 	優勢	c=1 d=1.09802 t=3722
you wu 	有誤	c=1 d=0.100031 t=6421
you xi 	遊戲	c=11 d=2.93602 t=6311
you xi yin qing 	遊戲引擎	c=1 d=1 t=1771
you xian ji 	優先級	c=2 d=1.23575 t=1159
you xian zhi 	有限制	c=1 d=1 t=6361
you xiao 	有效	c=2 d=1.93239 t=1996
you yao 	又要	c=1 d=1 t=1749
you yi xie 	有一些	c=1 d=1 t=1638
you you shi 	有優勢	c=1 d=1 t=3719
you yu 	由於	c=2 d=1.00062 t=2823
you zhu yu 	有助於	c=1 d=1 t=2084
yu 	於	c=4 d=1.5671 t=3459
yu 	與	c=13 d=2.93119 t=5790
yu 	裕	c=1 d=1 t=1585
yu 	雨	c=1 d=1 t=1306
yu dao 	遇到	c=1 d=1 t=1335
yu gang 	魚缸	c=1 d=1 t=4686
yu gu 	預估	c=1 d=1 t=6204
yu lan 	預覽	c=0 d=0.1 t=1116
yu lin 	魚鱗	c=2 d=1.99501 t=989
yu yan 	語言	c=2 d=1.0001 t=3563
yu yi 	羽翼	c=3 d=2.66373 t=1872
yu zhi 	閾值	c=2 d=1.99501 t=3083
yuan 	原	c=1 d=1.01836 t=3723
yuan 	園	c=1 d=1 t=901
yuan chu 	遠處	c=1 d=1 t=4674
yuan hu 	圓弧	c=1 d=1 t=906
yuan huan 	圓環	c=1 d=1 t=876
yuan lai 	原來	c=5 d=2.11326 t=5086
yuan lian jie 	原鏈接	c=1 d=1 t=3385
yuan ma 	源碼	c=3 d=1.39093 t=5811
yuan sheng 	原生	c=1 d=1 t=1488
yuan shi 	原始	c=2 d=1.97879 t=5782
yuan shi hua mian 	原始畫面	c=1 d=1 t=5588
yuan shi mo xing 	原始模型	c=1 d=1 t=5759
yuan shi shu ju 	原始數據	c=1 d=1 t=5627
yuan su 	元素	c=19 d=1.00005 t=5845
yuan su zhong 	元素中	c=1 d=1 t=3461
yuan wen 	原文	c=1 d=1 t=267
yuan yin 	原因	c=4 d=1.0683 t=6433
yuan yin shi 	原因是	c=1 d=1 t=3790
yuan zhu 	圓柱	c=1 d=1 t=895
yuan zhu ti 	圓柱體	c=7 d=1.00337 t=3799
yue 	月	c=6 d=1.00007 t=5624
yue du 	閱讀	c=3 d=1 t=5305
yue shu 	約束	c=3 d=2.57689 t=3496
yue shu li 	約束力	c=1 d=1 t=3413
yue yu 	粵語	c=1 d=1 t=987
yun 	雲	c=0 d=0.0704688 t=6492
yun dong 	運動	c=2 d=1 t=5057
yun dong xue 	運動學	c=2 d=1 t=3558
yun si 	暈死	c=1 d=1 t=4319
yun xing 	運行	c=9 d=0.171184 t=6269
yun xing de ba 	運行的吧	c=1 d=1 t=6181
yun xing ma 	運行嗎	c=1 d=1 t=6270
yun xu 	允許	c=4 d=0.856415 t=6492
yun yin yue 	雲音樂	c=1 d=0.70822 t=6492
zai 	再	c=10 d=0.744532 t=6492
zai 	在	c=86 d=4.43376 t=6492
zai ci 	再次	c=2 d=1.00923 t=1133
zai gai 	再改	c=1 d=1 t=4618
zai gei 	再給	c=2 d=1 t=3704
zai jia shang 	在加上	c=1 d=1 t=4208
zai kan 	再看	c=0 d=0.1 t=5999
zai li mian 	在裏面	c=2 d=1.02182 t=4907
zai ling yi tai 	在另一臺	c=1 d=1 t=4398
zai ru zhong 	載入中	c=1 d=1 t=124
zai tong yi ge 	在同一個	c=1 d=1 t=2814
zai xian 	在線	c=1 d=0.690734 t=6492
zai xin 	在新	c=0 d=0.1 t=5353
zai xin zhong duan zhong 	在新終端中	c=1 d=1 t=5354
zai yong 	再用	c=1 d=1 t=2253
zai you xi 	在遊戲	c=1 d=1 t=6271
zan bu 	暫不	c=1 d=1 t=1832
zan ting 	暫停	c=0 d=0.1 t=370
zan ting mo shi 	暫停模式	c=1 d=1 t=371
zao sheng 	噪聲	c=6 d=5.35297 t=210
zao sheng qian 	噪聲錢	c=1 d=1 t=179
zao yin 	噪音	c=2 d=1 t=5892
ze 	則	c=13 d=1.00032 t=5134
ze bo 	則波	c=0 d=0.1 t=4471
ze hui 	則會	c=1 d=1 t=2440
ze wei 	則爲	c=3 d=1.06006 t=3319
zen me 	怎麼	c=4 d=1.07136 t=5712
zen me yang 	怎麼樣	c=2 d=1 t=4588
zen me zuo 	怎麼做	c=2 d=1.00043 t=6209
zen yang 	怎樣	c=1 d=1 t=5388
zeng da 	增大	c=1 d=1 t=3635
zeng jia 	增加	c=3 d=1.00015 t=5310
zhai 	翟	c=6 d=2.88616 t=4967
zhai sheng fu 	翟昇富	c=1 d=1 t=6483
zhan jiang 	湛江	c=1 d=1 t=1574
zhan kai 	展開	c=6 d=4.4598 t=5289
zhan kai hou 	展開後	c=1 d=1 t=5240
zhan shi 	展示	c=8 d=0.541286 t=6324
zhan shi chuang kou 	展示窗口	c=1 d=1 t=6219
zhan shi jie mian 	展示界面	c=1 d=1 t=6325
zhan shi shu ju 	展示數據	c=1 d=1 t=6223
zhan xian 	展現	c=0 d=0.1 t=1817
zhang 	張	c=3 d=1.00002 t=4287
zhang 	長	c=1 d=1 t=4151
zhang ai wu 	障礙物	c=3 d=1.26119 t=1431
zhang hao 	帳號	c=3 d=1.92774 t=4298
zhang hu 	賬戶	c=1 d=1 t=4061
zhao 	找	c=2 d=1.17204 t=4417
zhao bu dao 	找不到	c=1 d=1 t=6419
zhao bu dao le 	找不到了	c=3 d=1.00625 t=5385
zhao dao 	找到	c=5 d=0.22948 t=6433
zhao dao yuan yin le 	找到原因了	c=1 d=1 t=6434
zhao dao zhe ji ge 	找到這幾個	c=1 d=1 t=790
zhao le 	找了	c=0 d=0.1 t=4914
zhao le ba 	找了吧	c=1 d=1 t=4915
zhao yi xia 	找一下	c=1 d=1 t=1285
zhe 	着	c=1 d=1 t=4615
zhe 	這	c=0 d=0.1 t=661
zhe bu fen 	這部分	c=1 d=1 t=662
zhe ge 	這個	c=33 d=1.95107 t=6487
zhe ge shi 	這個是	c=3 d=1.00024 t=6436
zhe ge yang zi 	這個樣子	c=2 d=1.06555 t=4697
zhe ji ge 	這幾個	c=1 d=1 t=6049
zhe ju 	這句	c=1 d=1 t=4206
zhe ju hua 	這句話	c=1 d=1 t=3717
zhe li 	這裏	c=6 d=1.00032 t=6025
zhe liang ge 	這兩個	c=2 d=1.06555 t=5294
zhe me 	這麼	c=1 d=0.1 t=6469
zhe me da 	這麼大	c=1 d=1 t=2075
zhe me shen qi de ma 	這麼神奇的嗎	c=1 d=1 t=6470
zhe shi 	這是	c=5 d=1.025 t=6001
zhe shi yi ge 	這是一個	c=1 d=1 t=4118
zhe xia 	這下	c=1 d=1 t=5837
zhe xie 	這些	c=2 d=1.04317 t=6372
zhe yang 	這樣	c=7 d=1.55232 t=6469
zhe yang ma 	這樣嗎	c=3 d=1.45841 t=4927
zhen 	真	c=5 d=2.90414 t=3186
zhen dui 	針對	c=3 d=1.00002 t=4047
zhen shi 	真實	c=2 d=1 t=5893
zhen shu 	幀數	c=1 d=1 t=2050
zheng 	正	c=0 d=0.1 t=5999
zheng chang 	正常	c=1 d=1 t=2234
zheng ge 	整個	c=3 d=1.15474 t=5985
zheng gu 	整蠱	c=1 d=1 t=4748
zheng he 	整合	c=1 d=1 t=5008
zheng li 	整理	c=2 d=1.55711 t=6482
zheng shi 	正式	c=1 d=1 t=1265
zheng shu 	證書	c=1 d=1 t=4468
zheng ti 	整體	c=3 d=1.01879 t=4751
zheng zai 	正在	c=7 d=1.22391 t=4098
zheng zai kan 	正再看	c=1 d=1 t=6000
zhi 	值	c=7 d=2.3272 t=3667
zhi 	只	c=5 d=0.241825 t=4987
zhi 	指	c=5 d=2.00823 t=6034
zhi 	置	c=1 d=1 t=2220
zhi 	至	c=2 d=1.15882 t=4109
zhi biao 	製表	c=0 d=0.1 t=2734
zhi biao fu 	製表符	c=2 d=1.81465 t=2776
zhi cheng 	支撐	c=1 d=1 t=1925
zhi chi 	支持	c=7 d=0.798516 t=6492
zhi ci 	至此	c=1 d=1 t=2708
zhi dao 	知道	c=2 d=1.05448 t=6413
zhi dao le 	知道了	c=0 d=0.1 t=6241
zhi de shi 	指的是	c=1 d=1 t=1605
zhi ding 	制定	c=2 d=1.00023 t=2452
zhi ding 	指定	c=7 d=0.100527 t=4784
zhi ding dao 	指定到	c=1 d=1 t=4785
zhi fu 	支付	c=1 d=1 t=1747
zhi gong 	職工	c=1 d=0.843665 t=6492
zhi hang 	支行	c=1 d=1 t=1591
zhi hou 	之後	c=9 d=0.101052 t=6429
zhi hui 	只會	c=2 d=1 t=4874
zhi jian 	之間	c=4 d=1.09952 t=3284
zhi jie 	直接	c=14 d=1.00848 t=6267
zhi ke yi 	只可以	c=1 d=1 t=1178
zhi lei 	之類	c=2 d=1 t=6358
zhi lei 	酯類	c=1 d=1 t=6357
zhi liang 	質量	c=2 d=1.0302 t=3139
zhi nan 	指南	c=1 d=1 t=1735
zhi neng 	只能	c=5 d=2.01055 t=5693
zhi neng qu 	只能去	c=1 d=1 t=4909
zhi neng you 	只能有	c=1 d=1 t=3154
zhi neng zai 	只能在	c=1 d=1 t=6151
zhi qian 	之前	c=8 d=0.103737 t=6352
zhi qian yong 	之前用	c=1 d=1 t=5256
zhi shi 	只是	c=6 d=1.05951 t=6386
zhi shi 	知識	c=1 d=1 t=2200
zhi shi rang 	只是讓	c=1 d=1 t=4988
zhi xian 	直線	c=1 d=1 t=904
zhi xiang 	指向	c=1 d=1 t=2313
zhi xin 	之心	c=0 d=0.1 t=2006
zhi xin 	質心	c=3 d=2.8793 t=2030
zhi xing 	執行	c=1 d=1 t=1331
zhi xu yao 	只需要	c=2 d=1 t=4219
zhi yi 	之一	c=0 d=0.1 t=2401
zhi you 	只有	c=1 d=1 t=5144
zhi yu 	至於	c=1 d=1 t=4236
zhi zhen 	指針	c=8 d=4.03412 t=2703
zhi zhi 	直至	c=1 d=1 t=2700
zhi zuo 	只做	c=1 d=1 t=830
zhi zuo 	製作	c=1 d=1 t=820
zhong 	中	c=56 d=0.92423 t=6492
zhong de 	中的	c=2 d=1 t=5573
zhong duan 	終端	c=3 d=2.58696 t=375
zhong duan zhong 	終端中	c=2 d=1.09501 t=5353
zhong guo 	中國	c=2 d=1.38098 t=1769
zhong jian 	中間	c=3 d=1.67032 t=5855
zhong lei 	種類	c=1 d=1 t=3008
zhong wu 	中午	c=2 d=1 t=4084
zhong xin 	中心	c=1 d=0.1 t=4415
zhong yao 	重要	c=2 d=1.02625 t=1516
zhong yi 	中意	c=0 d=0.1 t=961
zhou 	周	c=2 d=1.8781 t=481
zhou 	軸	c=1 d=1 t=2424
zhou si 	週四	c=1 d=1 t=4339
zhu 	主	c=1 d=1 t=2059
zhu 	註	c=1 d=1 t=2792
zhu ce 	註冊	c=1 d=1 t=4281
zhu ci 	逐次	c=2 d=1.9802 t=3406
zhu ji 	主機	c=1 d=1 t=3568
zhu jiang 	珠江	c=1 d=1 t=5170
zhu yao 	主要	c=2 d=1.01304 t=2159
zhu yi 	注意	c=3 d=0.718924 t=6492
zhu yi kan 	注意看	c=1 d=1 t=3690
zhu yi shi xiang 	注意事項	c=5 d=1.98506 t=6492
zhu zhai 	住宅	c=1 d=1 t=984
zhu zhong 	注重	c=1 d=1.07045 t=1904
zhu zhong yu 	注重於	c=1 d=1 t=1905
zhua qu 	抓取	c=1 d=1 t=821
zhuan dong guan liang 	轉動慣量	c=1 d=1 t=1597
zhuan huan 	轉換	c=1 d=0.161421 t=2543
zhuan huan wei 	轉換爲	c=1 d=1 t=2544
zhuan kuai 	磚塊	c=1 d=1 t=977
zhuan xiang 	專項	c=1 d=1 t=1734
zhuan xie 	撰寫	c=1 d=1 t=254
zhuang 	撞	c=1 d=1 t=4837
zhuang 	裝	c=2 d=1.22993 t=4432
zhuang kai 	撞開	c=1 d=1 t=857
zhuang tai 	狀態	c=1 d=0.1 t=3210
zhui zong 	追蹤	c=1 d=1 t=1566
zhun que 	準確	c=1 d=0.102866 t=5073
zhun que de 	準確的	c=1 d=1 t=5074
zhuo 	桌	c=1 d=1 t=2038
zhuo jiao 	桌腳	c=1 d=1 t=4512
zhuo mian 	桌面	c=2 d=1.00896 t=4509
zhuo zi 	桌子	c=8 d=2.61173 t=4858
zi 	子	c=0 d=0.1 t=3282
zi dai 	自帶	c=6 d=1.40481 t=4475
zi dao 	自導	c=1 d=1 t=4474
zi ding yi 	自定義	c=4 d=1.36059 t=5744
zi dong 	自動	c=6 d=0.105017 t=6440
zi dong hua 	自動化	c=1 d=1 t=5045
zi dong jia zai 	自動加載	c=1 d=1 t=6441
zi fu chuan 	字符串	c=3 d=2.21216 t=2627
zi ji 	自己	c=2 d=1.03626 t=1529
zi ji xie 	自己寫	c=1 d=1 t=4309
zi ji zuo 	自己做	c=1 d=1 t=4991
zi jia 	自家	c=2 d=1.84366 t=1926
zi jian 	自建	c=1 d=1 t=575
zi liao 	資料	c=3 d=1.68792 t=1912
zi liao le 	資料了	c=1 d=1 t=1913
zi nang guo 	子囊果	c=0 d=0.1 t=2452
zi se 	紫色	c=0 d=0.1 t=3773
zi se bu fen 	紫色部分	c=1 d=1 t=3774
zi tai 	姿態	c=2 d=1.16948 t=2806
zi xing 	自行	c=1 d=1 t=1460
zi you 	自由	c=0 d=0.1 t=1973
zi you du 	自由度	c=1 d=1 t=616
zi you luo ti 	自由落體	c=1 d=1 t=1993
zi you xia luo 	自由下落	c=1 d=1 t=1974
zi yuan su 	子元素	c=1 d=1 t=3283
zong jie 	總結	c=1 d=1 t=1864
zou dao 	走道	c=4 d=1.85965 t=2135
zou lang 	走廊	c=2 d=1.99501 t=1119
zu 	組	c=1 d=1.09371 t=2956
zu cheng 	組成	c=2 d=1.91393 t=1429
zu he 	組合	c=2 d=1.66365 t=3883
zu jian 	組件	c=0 d=0.1 t=5549
zu li 	阻力	c=2 d=1.91393 t=1998
